Id,EssaySet,Score1,Score2,EssayText,Arabic Translation
15,1,0,0,"Well what i understand about this procedure is that you take four samples, put them in different containers that look the same, put vinegar on every sample + finally rinse them out with normal water + let them sit for 30 minutes till they dry. Then your finally going to see the difference between those samples.",حسنا ما أفهم حول هذا الإجراء هو أن تأخذ أربع عينات، ووضعها في حاويات مختلفة التي تبدو نفس الشكل ، والخل وضعت على كل عينة + أخيرا شطفهم بالماء العادي + السماح لهم الجلوس لمدة ثلاثين دقيقة حتى تجف. ثم لديك أخيرا سنرى الفرق بين تلك العينات.
16,1,0,0,I don't know what is going on!,أنا لا أعرف ما يجري!
17,1,3,3,"In order to replicate this experiment, I would need to know the shape of each material, because the amount of surface area expand to the vinegar mass, changes the results. I would also need to know how much vinegar and what size containers to use in order to exactly replicate the experiment.",من أجل تكرار هذه التجربة، وأنا بحاجة لمعرفة شكل كل المواد، وذلك لأن كمية من مساحة توسيع إلى كتلة الخل، يغير النتائج. وأود أن تحتاج أيضا إلى معرفة مقدار الخل وما حاويات حجم استخدام من أجل تكرار بالضبط التجربة.
18,1,0,0,The additional information I would need is to come up with an hypothesis to predict which sample will have the highest mass in acid rain. After that I will have to come up with my dependent and independent variables so I can tell and see each one is different in mass. I will organize the data to see if the information is accurate. Then I will write the conclusion to see if my hypothesis was correct and to see if my results were correct.,المعلومات الإضافية التي سأحتاج إليها هي التوصل إلى فرضية للتنبؤ بالعينة التي سيكون لها أعلى كتلة في المطر الحمضي. بعد ذلك ، يجب أن أصل إلى المتغيرات التابعة والمستقلة حتى أتمكن من معرفة ورؤية كل واحد مختلف في الكتلة. سأقوم بتنظيم البيانات لمعرفة ما إذا كانت المعلومات دقيقة. ثم سأكتب الاستنتاج لمعرفة ما إذا كانت فرضيتي صحيحة ومعرفة ما إذا كانت نتائجي صحيحة.
19,1,0,0,"In order to replicate this experiment I would need a scare in order to get the mass. Next, I would need tape and markers to label the containers. Last, I would need all 4 samples and graduated cylinders as a container to replicate this experiment.",من أجل تكرار هذه التجربة ، أحتاج إلى مقياس من أجل الحصول على الكتلة. بعد ذلك ، أحتاج إلى شريط وعلامات لتمييز الحاويات. أخيرًا ، سأحتاج إلى جميع العينات الأربعة والأسطوانات المتدرجة كحاوية لتكرار هذه التجربة.
20,1,3,3,"In order for the me to replicate their procedure, I would need to know what four samples they used, they should include that in their procedure. Also they should stay  where you are to put the four containers during the 24 hour time period finally, they should include what type of vinegar or what brand so that when i were to do this experiment, I would in as close to what they actually did, and therefore would be able to replicate the experiment.",من أجل أن أكرر الإجراء الخاص بهم ، أود أن أعرف ما هي العينات الأربعة التي استخدموها ، ويجب أن يدرجوا ذلك في إجراءاتهم. يجب عليهم أيضًا البقاء في المكان الذي ستضع فيه الحاويات الأربعة خلال فترة 24 ساعة أخيرًا ، يجب أن يشتملوا على نوع الخل أو العلامة التجارية حتى عندما أقوم بهذه التجربة ، أود أن أقارب ما فعلوه بالفعل وبالتالي ستكون قادرة على تكرار التجربة.
21,1,0,0,You would need to have four seperate but identical containers. you would also need to pour in each of them Vinegar to determine the mass of the items being placed in them. And new items would be needed to be placed in each of the containers.,ستحتاج إلى أربع حاويات منفصلة ولكنها متطابقة. ستحتاج أيضًا إلى صب الخل في كل منها لتحديد كتلة العناصر التي يتم وضعها فيها. وستكون هناك حاجة لوضع عناصر جديدة في كل حاوية.
22,1,2,2,"Inorder to replicate the experiment, I would need to know the mass of the four different samples, how much vinegar to pour into the containers, what the samples were made up of, and how much water to rinse them with after the 24 hours.",من أجل تكرار التجربة ، أحتاج إلى معرفة كتلة العينات الأربع المختلفة ، وكم الخل الذي تصب في الحاويات ، وما تتكون العينات ، وكمية المياه التي يجب شطفها بها بعد 24 ساعة.
23,1,0,0,The students data needed to include how much of the solution was poored. They also needed to find out if the rocks weighed the same when they started.,احتاجت بيانات الطلاب إلى تضمين مقدار الحل الذي كان ضعيفًا. كما احتاجوا لمعرفة ما إذا كانت الصخور تزن نفسها عندما بدأت.
24,1,3,3,"For this experiments duplication, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.",لتكرار هذه التجارب ، ستحتاج إلى معرفة كمية الخل المستخدمة بالضبط في كل كوب. عليك أيضًا معرفة حجم كل حاوية. بالإضافة إلى ذلك ، ستحتاج إلى معرفة حجم كل عينة للتأكد من أنه يمكنك وضعها في الأكواب بالتساوي.
25,1,1,1,Some additional information that I would need is the amount of vinegar they poured.,بعض المعلومات الإضافية التي قد أحتاجها هي كمية الخل التي سكبوها.
26,1,2,2,"After reading the groups procedure I would need to know what type of vinegar they were using because it could of been any type, what was the measure of containers because the containers could have been 3 different sizes and they wouldn't have valid results, and they also should have told me what they were holding constant because I wouldn't know what variables to use or control.",بعد قراءة إجراء المجموعات ، أحتاج إلى معرفة نوع الخل الذي يستخدمونه لأنه يمكن أن يكون من أي نوع ، وما هو قياس الحاويات لأن الحاويات يمكن أن تكون 3 أحجام مختلفة ولن تكون لها نتائج صحيحة ، و كان يجب عليهم أيضًا أن يخبروني بما لديهم من ثبات لأنني لا أعرف المتغيرات التي يجب استخدامها أو التحكم فيها.
27,1,2,2,They needed to include what time they started and when they ended. Also the amount of vinegar they used. Also the size of each sample.,كانوا بحاجة إلى تضمين الوقت الذي بدأوا فيه ومتى انتهوا. أيضا كمية الخل التي استخدموها. أيضا حجم كل عينة.
28,1,0,0,"1). Get 4 different samples: marble, limestone, wood, plastic. ^p 2). Put each sample into 4 different containers. ^p 3). Pour vinegar in each of 4 separate but identical containers. ^p 4). After 24 hrs remove the samples from the container and rinse each w/ distilled water. ^p 5). Allow samples to sit and dry for 30 min. ^p 6). Determine the data of each sample. ^p 7). Record your data.",1). احصل على 4 عينات مختلفة: الرخام والحجر الجيري والخشب والبلاستيك. ^ ص 2). ضع كل عينة في 4 حاويات مختلفة. ^ ص 3). يُسكب الخل في 4 حاويات منفصلة ولكن متطابقة. ^ ص 4). بعد 24 ساعة ، أخرج العينات من الحاوية واشطف كل الماء المقطر. ^ ص 5). دع العينات تجلس وتجف لمدة 30 دقيقة. ^ ص 6). تحديد بيانات كل عينة. ^ ص 7). سجل بياناتك.
29,1,3,3,"In order to replicate this experiment, you would need to know what the samples were. In this group's procedure, they do not state what",لتكرار هذه التجربة ، ستحتاج إلى معرفة ما هي العينات. في إجراء هذه المجموعة ، لا يذكرون ما
30,1,2,0,"In step three, you would need to know how much of each sample to use. Also in step to you need to fill each container with the same amount step 4 you must rinse each stone as much. Also there is no control variable.",في الخطوة الثالثة، وكنت بحاجة لمعرفة كم من كل عينة الاستخدام. أيضا في خطوة لتحتاج إلى تعبئة كل حاوية مع نفس كمية الخطوة 4 يجب شطف كل حجر القدر. أيضا لا يوجد متغير السيطرة.
31,1,2,2,"I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.",المعلومات الإضافية التي أحتاجها لتكرار التجربة هي إضافة المكان الذي ستغادر فيه العينات لمدة 24 ساعة. هناك أمر آخر قد يحتاجون إلى إضافته لي من أجل تكرار التجربة وهو تحديد المتغير المستقل بوضوح. أحتاجهم أيضًا أن يذكروا كمية الخل التي يجب صبها في كل حاوية منفصلة ولكنها متطابقة.
32,1,0,0,You will need a timer to determine the time that the vinegar dryed up.,ستحتاج إلى موقّت لتحديد الوقت الذي يجف فيه الخل.
33,1,3,3,"For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''","في هذه التجربة ، ستحتاج في الواقع إلى معرفة ما هو ""كل"" عينة ، وكمية الخل المستخدمة وحجم كل ""عينة"""
34,1,3,3,To replicate the experiment I would need to know the samples that I will be using. I would also need to know how much vinegar to use. I would also need to know what type of containers to use.,لتكرار التجربة ، أحتاج إلى معرفة العينات التي سأستخدمها. أحتاج أيضًا إلى معرفة مقدار الخل الذي يجب استخدامه. أحتاج أيضًا إلى معرفة نوع الحاويات التي سأستخدمها.
35,1,1,1,"In order to replicate the experiment.You would need to know how much vinegar to pour ,you need to know how much distilled water and you aso need to know how your going to weigh it.",من أجل تكرار التجربة ، ستحتاج إلى معرفة كمية الخل التي تصبها ، وتحتاج إلى معرفة كمية الماء المقطر وأنت بحاجة أيضًا إلى معرفة كيفية وزنها.
36,1,2,2,Well I would need to know what the problem statement is. I would need to know what type of cups we are using.I would need to know the amount of vinegar we are using. And I would need to know if the amount of vinegar in each cup will differ.,من أجل تكرار التجربة ، ستحتاج إلى معرفة كمية الخل التي تصبها ، وتحتاج إلى معرفة كمية الماء المقطر وأنت بحاجة أيضًا إلى معرفة كيفية وزنها.
37,1,2,2,In order to replicate the experiment i would need to know how much of each material is used before i go and find the mass. I would need to know how much vinegar to pour on each material. Although they show the materials in the data take they should still list them in the procedure.,من أجل تكرار التجربة ، أحتاج إلى معرفة مقدار كل مادة يتم استخدامها قبل أن أذهب وأجد الكتلة. أود أن أعرف كمية الخل التي يجب صبها على كل مادة. على الرغم من أنها تُظهر المواد الموجودة في البيانات ، فيجب أن تسردها في الإجراء.
38,1,0,0,"I will need to know what's the purpose for this experiment, know the difference in mass for each sample, and I need to know an esimate of what they thought the starting and ending mass was.",سأحتاج إلى معرفة الغرض من هذه التجربة ، ومعرفة الفرق في الكتلة لكل عينة ، وأحتاج إلى معرفة تقدير لما اعتقدوا أن كتلة البداية والنهاية.
39,1,1,1,They should add how much vinegar to add to each sample. For this lab to be more accurate they should have also added more trials as well as adding a constant variable such as a rock in just water.,يجب أن يضيفوا مقدار الخل المضاف إلى كل عينة. لكي يكون هذا المختبر أكثر دقة ، كان يجب عليهم أيضًا إضافة المزيد من التجارب بالإضافة إلى إضافة متغير ثابت مثل الصخور في الماء فقط.
40,1,2,2,"In order to replicate this experiment I would need to know, first how to calculate the mass of the samples. I would also need t o know what the four samples are, as if is not stated in the procedure. Lastly to repeat this expirement I would need to know how much vinegar was placed into each container.",من أجل تكرار هذه التجربة ، أود أن أعرف ، أولاً كيفية حساب كتلة العينات. سأحتاج أيضًا إلى معرفة ما هي العينات الأربعة ، كما لو لم يتم ذكرها في الإجراء. وأخيرًا ، لتكرار هذا انتهاء الصلاحية ، أحتاج إلى معرفة مقدار الخل الذي تم وضعه في كل حاوية.
41,1,1,1,"Additional information that would be needed to replicate the data would be what equipment is needed for the experiment,what materials are going to be used,and how much of each material will be used?",المعلومات الإضافية التي ستكون مطلوبة لتكرار البيانات هي المعدات اللازمة للتجربة ، وما هي المواد التي سيتم استخدامها ، وكم من كل مادة سيتم استخدامها؟
42,1,3,3,"In order to replicate this experiment:you would need to know the amount of vinegar to pour in the container. You also need to know what to pe of coniainer to pour the vinegar in. Also, you need to know how much or how long to rinse the samples with distilled water.",من أجل تكرار هذه التجربة: ستحتاج إلى معرفة كمية الخل لتصب في الحاوية. تحتاج أيضًا إلى معرفة ما يجب أن تستخدمه لصب الخل فيه. وتحتاج أيضًا إلى معرفة مقدار أو مدة شطف العينات بالماء المقطر.
43,1,3,3,After reading the procedure i would  first need to know what the for sample are that i am testing second i ^p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rinse each sample in distiled water.,بعد قراءة الإجراء ، سأحتاج أولاً إلى معرفة ما هي العينة التي أقوم باختبارها ثانياً ، سأحتاج إلى معرفة مقدار الخل الذي تم وضعه في كل حاوية بعد الإجراء ، يجب أن يخبرني الإجراء عن كيفية شطف كل عينة في الماء المقطر .
44,1,3,3,"Determine what the different samples are, then state how much vinegar you would be adding to each sample. State how long you are rising the materials in water. (ex 5 minutes)",حدد ما هي العينات المختلفة ، ثم حدد مقدار الخل الذي ستضيفه إلى كل عينة. اذكر المدة التي ترفع فيها المواد في الماء. (على سبيل المثال 5 دقائق)
45,1,2,2,"In order to replicate the groups experiment, I would need a lot of additional information. First of all, I would need to know what it is that they are using as the four samples (rocks bark)",من أجل تكرار تجربة المجموعات ، سأحتاج إلى الكثير من المعلومات الإضافية. بادئ ذي بدء ، أود أن أعرف ما الذي يستخدمونه كالعينات الأربع (لحاء الصخور)
46,1,0,0,"I think the experiment should make the description more specific so as not to be confused and mistake cups.For instance , they could say ""each of the cork samples"", and ""place sample  into cup labeled 'A'""","أعتقد أن التجربة يجب أن تجعل الوصف أكثر تحديدًا حتى لا يتم الخلط بين الكؤوس والخطأ. على سبيل المثال ، يمكن أن يقولوا ""كل من عينات الفلين"" و ""ضع العينة في الكوب المسمى"" A """""
47,1,2,2,"One extra thing that needs to be included is what material or object the four samples are of another thing not included is the amount of vinegar needed to put in each containers. The words ""A sample"" doesn't specify the exact amount of each rock are needed. A repetition of this experiment is needed to verify the results.","الشيء الإضافي الذي يجب تضمينه هو المادة أو الشيء الذي تمثله العينات الأربعة لشيء آخر لم يتم تضمينه هو كمية الخل اللازمة لوضعها في كل حاوية. لا تحدد الكلمات ""عينة"" المقدار الدقيق لكل صخرة. هناك حاجة إلى تكرار هذه التجربة للتحقق من النتائج."
48,1,0,0,"There could be more than 1 test for each sample. There could also have a constant added to the expariement. Also, there are to softy instanchings in the experiment like put on goggles before eyes where gloves when touching the vinegar",يمكن أن يكون هناك أكثر من اختبار لكل عينة. قد يكون هناك أيضًا إضافة ثابتة إلى التوسيع. أيضا ، هناك غرسات لينة في التجربة مثل ارتداء نظارات واقية أمام العين حيث قفازات عند لمس الخل
49,1,0,0,"They should take more notes, that way, in case they mess up, they can have a the information how to redo it.",يجب عليهم تدوين المزيد من الملاحظات ، بهذه الطريقة ، في حالة خبطهم ، يمكنهم الحصول على معلومات حول كيفية إعادة ذلك.
50,1,3,2,"How much vinager should you pour, with what label, and when to sit it, it sitand dry for 30 min...Label. The container's reapetedly, separate but identicle conatainer. What containers should we use?",ما كمية الصب التي يجب أن تصبها ، مع أي ملصق ، ومتى تجلس ، تجف لمدة 30 دقيقة ... التسمية. الحاوية محصنة ، منفصلة لكن متطابقة. ما هي الحاويات التي يجب أن نستخدمها؟
51,1,1,1,"In order to replicate this experiment, I would need to know what the different mauterials were. I would also need to know how many different materials there were and what the starting mass of each material was.",من أجل تكرار هذه التجربة ، أود أن أعرف ما هي مختلف الماوتري. سأحتاج أيضًا إلى معرفة عدد المواد المختلفة الموجودة وما هي كتلة البداية لكل مادة.
52,1,0,0,In the experiment  I would determine the mas of each sample pair the  vinegar into a container then label. I would wait 24 hours then pour out the vinegar and nose out with water. Let the samples dry and find the mass difference,في التجربة ، سأحدد كتلة كل زوج من الخل في حاوية ثم التسمية. كنت أنتظر لمدة 24 ساعة ثم أسكب الخل وأنف بالماء. دع العينات تجف وتجد فرق الكتلة
53,1,2,2,"In order to complete this experiment, three aditional thing should be included. The first is the amount of vinegar to pout in the cup. The second is to list the far samples in the procedure. The third is to record the information obtained.",لإكمال هذه التجربة ، يجب تضمين ثلاثة أشياء إضافية. الأول هو كمية الخل في الكوب. والثاني هو سرد العينات البعيدة في الإجراء. والثالث هو تسجيل المعلومات التي تم الحصول عليها.
54,1,2,2,"In order to replicate the group's I would need to know how much vinegar to pour in each of the four and how long  containers, how much the sample you need to add you need to rinse the samples.",من أجل تكرار المجموعة ، أحتاج إلى معرفة كمية الخل التي يجب صبها في كل واحدة من الحاويات الأربعة ومدة الحاويات ، وكم من العينة التي تحتاج إلى إضافتها تحتاج إلى شطف العينات.
55,1,2,2,"The procedure needs to state the four types of samples it is using, (marbles, limestone, wood, plastic). You need to determine how much vinegar you are pouring into each cup. You need a set amount. You could also do the time at different times. So you could do it at is at 30 and at 45 minutes to see if there is a change at all in the mass over time.",يحتاج الإجراء إلى ذكر الأنواع الأربعة للعينات التي يستخدمها ، (الرخام والحجر الجيري والخشب والبلاستيك). تحتاج إلى تحديد كمية الخل التي تصبها في كل كوب. أنت بحاجة إلى مبلغ محدد. يمكنك أيضًا القيام بالوقت في أوقات مختلفة. لذلك يمكنك القيام بذلك في الساعة 30 و 45 دقيقة لمعرفة ما إذا كان هناك تغيير على الإطلاق في الكتلة بمرور الوقت.
56,1,1,0,"The information I would need to replicate the experiment is; the four different samples, the four identical containers, the amount of time to let the samples sit, and the product to rinse the samples with so I could let them sit for more.",المعلومات التي أحتاجها لتكرار التجربة هي ؛ العينات الأربعة المختلفة ، الحاويات الأربعة المتطابقة ، مقدار الوقت للسماح للعينات بالجلوس ، والمنتج لشطف العينات حتى أتمكن من السماح لها بالجلوس للمزيد.
57,1,0,0,To repeat this experiment you would need to get the average that was used in the last procedure and let it sit for twenty eight hours instead of twenty four then rinse and record the changes in mass.,لتكرار هذه التجربة ، ستحتاج إلى الحصول على المتوسط ​​الذي تم استخدامه في الإجراء الأخير وتركه لمدة ثمانية وعشرين ساعة بدلاً من أربعة وعشرين ثم شطف وتسجيل التغييرات في الكتلة.
58,1,2,2,"We need to know the exact amount of vinegar going into each container, to make sure that each sample fair results. We also need to have a set starting mass so all of the samples have the same amount or the results will not be reliable. We also need to know what kind and how big the containers are, because results may be unreliable if the containers for the samples have all different volumes and shapes.",نحتاج إلى معرفة مقدار الخل الموجود بالضبط في كل حاوية ، للتأكد من أن كل عينة عادلة تنتج. نحتاج أيضًا إلى الحصول على كتلة بدء محددة بحيث يكون لجميع العينات نفس الكمية وإلا فلن تكون النتائج موثوقة. نحتاج أيضًا إلى معرفة نوع الحاويات وحجمها ، لأن النتائج قد تكون غير موثوقة إذا كانت حاويات العينات تحتوي على جميع الأحجام والأشكال المختلفة.
59,1,3,3,"Some additional information that you would need is how many vinegar are you pouring in. Also in step 3 it says add a sample of each material. We need to know how big the sample would have to be. Something that could effect the data could be what temperature are you putting this experiment in, is it room temperature, we need to know this.",بعض المعلومات الإضافية التي قد تحتاجها هي كم من الخل الذي تصب فيه. أيضًا في الخطوة 3 تقول إضافة عينة من كل مادة. نحن بحاجة إلى معرفة حجم العينة التي يجب أن تكون. شيء يمكن أن يؤثر على البيانات يمكن أن يكون درجة الحرارة التي تدخل بها هذه التجربة ، هل هي درجة حرارة الغرفة ، نحن بحاجة إلى معرفة ذلك.
60,1,3,3,"To replicate the experiment, the procedure would require more detail. One piece of information that is omitted is the amount of vinegar used in the experiment. It is also important to know what temperature the experiment was kept at during the 24 hours. Finally, the procedure needs to include details about the experiment, for example if the whole sample must be submerged.",لتكرار التجربة ، يتطلب الإجراء مزيدًا من التفاصيل. أحد المعلومات التي تم حذفها هو كمية الخل المستخدمة في التجربة. من المهم أيضًا معرفة درجة حرارة التجربة التي تم الاحتفاظ بها خلال 24 ساعة. أخيرًا ، يحتاج الإجراء إلى تضمين تفاصيل حول التجربة ، على سبيل المثال إذا كان يجب غمر العينة بأكملها.
61,1,1,1,"You would need the amount of vinegar being poured into each of the caps. That because the experiment only tell you to ""pour vinegar"" but when people read if they might not know how much vinegar to put.","ستحتاج إلى كمية الخل التي تصب في كل من الأغطية. ذلك لأن التجربة تخبرك فقط بـ ""صب الخل"" ولكن عندما يقرأ الناس ما إذا كانوا قد لا يعرفون مقدار الخل الذي يجب وضعه."
62,1,3,3,This group left same very important thing out of their procedure. First of all they didn't tell us what sumples to use for the experiment. They didn't tell us how much vinegar to use or what size containers we would need all of this information to replicate this lab.,تركت هذه المجموعة نفس الشيء المهم للغاية خارج إجراءاتها. بادئ ذي بدء ، لم يخبرونا عن البثرات التي يجب استخدامها في التجربة. لم يخبرونا عن كمية الخل التي نستخدمها أو حجم الحاويات التي نحتاجها لكل هذه المعلومات لتكرار هذا المختبر.
63,1,1,1,"You would need the name of the four samples you are using to make a table to record data. Write down you need to record the starting mass, ending mass and difference in mass.",ستحتاج إلى اسم العينات الأربعة التي تستخدمها لإنشاء جدول لتسجيل البيانات. اكتب ما تحتاجه لتسجيل كتلة البداية ، وإنهاء الكتلة والفرق في الكتلة.
64,1,0,0,"Some additional information i would need is how they found the mass and what type of instrument was being used. Also when they say place a sample of the material, how much of each type am i going to need.",بعض المعلومات الإضافية التي قد أحتاجها هي كيف وجدوا الكتلة ونوع الأداة المستخدمة. أيضًا عندما يقولون وضع عينة من المادة ، كم سأحتاج من كل نوع.
65,1,0,0,First of all you'll need to measure the container bxitsals and subtract it from weight of the samples so you don't accidently have extra weight. Calculate the time diffrence it took to prepare them. Use the same weight of each sample.,بادئ ذي بدء ، ستحتاج إلى قياس bxitsals الحاوية وطرحها من وزن العينات حتى لا يكون لديك وزن إضافي عن طريق الخطأ. احسب فرق الوقت المستغرق لإعدادهم. استخدم نفس الوزن لكل عينة.
66,1,0,0,"To exactly replicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. We have to know the starting mass, the ending mass and the difference in mass.",لتكرار هذه التجربة بالضبط ، يجب أن تعرف كيف تقيس كتلة الجسم ، لأنه بدون ذلك كيف يمكننا معرفة الكتل المختلفة. يجب أن نعرف كتلة البداية والكتلة النهائية والفرق في الكتلة.
67,1,1,1,"After reading the group' procedure I did not know how much vinegar they would be pouring into the containers. This group also did not state the starting time at which they added the vinegar. This group also did not state the reason the data, they just said to determine it.",بعد قراءة إجراء المجموعة ، لم أكن أعلم مقدار الخل الذي ستصبه في الحاويات. كما لم تذكر هذه المجموعة وقت البدء الذي أضافوا فيه الخل. كما لم تذكر هذه المجموعة سبب البيانات ، قالوا فقط لتحديدها.
68,1,2,2,I would need the amount of roch in each container. I would need the amount of vinegar of r container. I would need the same kind of vinegar in each container. I would need all of this additional information to replicate this repricant.  I would also need the amount trials done.,سأحتاج إلى كمية الروش في كل حاوية. سأحتاج إلى كمية خل وعاء . سأحتاج إلى نفس نوع الخل في كل وعاء. سأحتاج إلى كل هذه المعلومات الإضافية لتكرار هذا المكرر. سأحتاج أيضًا إلى عدد التجارب التي تم إجراؤها.
69,1,3,3,1.A list of materials and safety requirements. ^p 2.The amount of vinegar to put in the containers. ^p 3.The temperature of the room/vineger ^p 4.A control group.,1. قائمة المواد ومتطلبات السلامة. ^ ص 2. كمية الخل التي يجب وضعها في الحاويات. ^ ص 3. درجة حرارة الغرفة / الخل ^ ص 4. مجموعة تحكم.
